,Control_1,Control_2,Control_3,Control_4,Mlp37347_1,Mlp37347_2,Mlp37347_3,Mlp37347_4,Mlp124499_1,Mlp124499_2,Mlp124499_3,Mlp124499_4
AT1G01010,89,138,134,207,48,63,26,41,35,38,64,43
AT1G01020,89,129,180,553,232,205,106,89,124,108,112,134
AT1G01030,57,87,74,224,98,87,65,65,33,38,43,72
AT1G01040,602,913,785,2305,1013,835,501,512,625,828,849,563
AT1G01046,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01050,156,511,554,1957,838,575,410,441,331,359,173,614
AT1G01060,3583,7926,7633,14493,520,372,289,1044,904,1118,853,7253
AT1G01070,18,99,81,209,77,82,51,25,36,45,34,107
AT1G01080,561,950,893,2490,2137,1705,1078,480,594,635,632,1103
AT1G01090,973,2857,2863,7585,6035,4999,3012,4610,2774,3358,3420,2875
AT1G01100,476,2071,2427,5363,4509,3092,2124,1550,1760,1839,1019,2963
AT1G01110,65,171,182,482,73,64,40,166,160,151,116,153
AT1G01120,416,1793,1489,3112,1945,1581,1122,1011,946,1167,1916,2331
AT1G01130,18,31,38,66,55,52,22,20,27,35,38,53
AT1G01140,1291,1816,2113,3662,1827,1679,959,1244,699,790,1506,1590
AT1G01150,0,2,3,2,5,5,0,1,4,1,1,1
AT1G01160,185,412,378,588,417,374,217,336,268,318,270,269
AT1G01170,104,418,502,823,697,469,412,573,313,400,292,339
AT1G01180,104,322,327,742,260,249,134,354,103,177,194,228
AT1G01183,0,0,0,1,0,0,0,0,0,0,0,0
AT1G01190,12,46,23,90,157,130,80,5,14,18,10,78
AT1G01200,4,11,13,46,18,10,7,7,9,11,11,18
AT1G01210,49,62,80,270,108,84,49,36,50,72,66,138
AT1G01220,199,368,381,1147,624,606,346,314,344,373,442,354
AT1G01225,14,30,31,116,40,38,23,23,40,35,37,28
AT1G01230,142,400,422,915,612,445,301,369,325,404,425,324
AT1G01240,581,806,694,1578,915,742,496,1024,844,914,2143,395
AT1G01250,6,39,29,82,17,12,5,16,41,42,133,26
AT1G01260,353,660,718,1744,460,371,240,436,425,492,574,705
AT1G01270,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01280,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01290,115,189,204,384,258,237,163,88,129,141,163,232
AT1G01300,211,953,721,2325,3339,2963,1590,1000,959,1050,584,1420
AT1G01305,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01310,1,0,2,2,1,0,1,0,1,0,2,4
AT1G01320,4089,6729,5722,15987,8755,7392,4173,4510,4284,4352,4248,4902
AT1G01335,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01340,221,453,597,793,125,107,60,129,85,94,112,210
AT1G01350,300,367,393,791,522,454,311,357,249,248,368,380
AT1G01355,0,4,4,9,3,1,5,3,4,2,5,5
AT1G01360,143,229,237,727,262,214,118,133,153,153,329,243
AT1G01370,23,30,37,79,128,76,51,17,47,41,26,29
AT1G01380,5,9,5,26,21,11,8,7,8,10,15,16
AT1G01390,58,206,112,347,106,72,36,7,185,146,227,216
AT1G01400,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01420,96,265,191,568,158,149,93,129,137,170,214,422
AT1G01430,273,1119,930,2936,1855,1491,938,722,641,755,790,1038
AT1G01440,232,439,399,932,678,536,367,340,316,333,411,244
AT1G01448,52,145,126,346,205,132,91,198,102,101,66,83
AT1G01450,25,17,11,25,16,8,3,19,6,7,12,1
AT1G01453,1,2,0,3,0,0,0,1,3,1,1,2
AT1G01460,0,0,0,0,0,1,0,0,0,0,0,0
AT1G01470,321,967,980,1820,1437,1309,777,3073,2670,2988,4539,1384
AT1G01480,25,17,36,55,17,10,5,89,4,9,15,20
AT1G01490,3621,2695,2871,5349,1750,1342,988,1549,885,1057,3213,1804
AT1G01500,140,183,157,583,554,494,265,386,258,276,356,248
AT1G01510,360,681,601,1885,1325,1155,656,842,631,679,647,493
AT1G01520,36,115,155,289,4,7,4,10,3,7,13,269
AT1G01530,0,1,1,2,1,0,0,0,0,1,1,0
AT1G01540,994,1399,1449,3305,2659,2026,1213,1132,665,805,1121,1380
AT1G01550,537,2880,2554,6353,3374,2507,1634,2393,1740,1956,1352,2589
AT1G01560,122,200,241,285,43,31,27,46,24,25,40,39
AT1G01570,10,21,17,58,69,66,30,33,38,29,39,15
AT1G01580,20,59,34,202,81,77,42,20,62,51,78,63
AT1G01590,2,6,2,8,1,2,1,1,1,2,4,4
AT1G01600,16,85,73,322,255,238,118,15,58,68,82,97
AT1G01610,247,757,665,2298,1872,1672,893,764,497,607,651,821
AT1G01620,1523,7971,6192,18133,11474,9802,6009,11944,4400,5657,4635,6622
AT1G01630,368,757,684,1471,1512,1128,801,358,413,425,757,743
AT1G01640,7,23,40,59,33,26,11,37,25,51,16,20
AT1G01650,381,823,817,2357,857,719,394,1044,694,779,1063,453
AT1G01660,21,13,12,28,17,8,5,6,10,3,32,17
AT1G01670,34,12,21,50,32,27,19,11,16,19,45,15
AT1G01680,127,138,321,186,20,17,10,13,14,7,37,34
AT1G01690,39,53,68,144,122,110,56,18,49,59,54,45
AT1G01695,1,5,9,7,10,3,3,0,3,2,3,1
AT1G01700,29,54,35,127,64,33,32,48,36,39,34,35
AT1G01710,190,488,540,1204,756,593,393,617,412,462,423,388
AT1G01715,11,36,42,105,68,41,44,26,21,37,37,43
AT1G01720,283,641,726,1802,663,636,344,1074,343,393,452,673
AT1G01725,58,52,83,141,79,62,41,53,64,41,71,55
